Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
HVAC,HVAC,,sensor data,Fault prediction,Bayesian inference,"Bayesian Inference, Markov Chain Monte Carlo (MCMC), virtual sensing",Yes: Bayesian inference and statistical analysis,4.0,2-s2.0-85111498596,['fault prediction'],['Fault prediction']
Manufacturing systems (specifically milling machines),Manufacturing systems,,"['sensor data', 'time series', 'images']",Fault prediction,Data driven,"['CNN', 'ResNet']",No,4.0,2-s2.0-105007301949,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Graph attention network (GAT),No,3.0,2-s2.0-85172011572,['fault prediction'],['Fault prediction']
Industrial processes (specifically continuous stirred tank heater (CSTH) process and TE process),Industrial systems,,sensor data,Fault prediction,Data driven,"['Principal Component Analysis (PCA)', 'Kullback–Leibler divergence (KLD)', 'Jensen–Shannon divergence (JSD)', 'Kernel Density Estimation (KDE)']","Yes: PCA, KLD, JSD, KDE are interpretable techniques",4.0,2-s2.0-85181168420,['fault prediction'],['Fault prediction']
Industrial equipment/rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"['Composite Multiscale Permutation Entropy', 'Elman neural network']",No,3.0,2-s2.0-85196418040,['remaining useful life'],['Remaining Useful Life']
HVAC,HVAC,,low cost measurements,Fault prediction,Data driven,"Virtual sensors, Fault impact models",Yes: Threshold-based rules and diagnostic models,4.0,2-s2.0-85090350712,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Sample Convolution, Attention mechanism",No,4.0,2-s2.0-85195816870,['remaining useful life'],['Remaining Useful Life']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,Convolutional Neural Network (CNN),Yes: Interpretability research and feature visualization,2.0,2-s2.0-85162116750,['fault prediction'],['Fault prediction']
Industrial conveyor systems,Industrial systems,,audio features,Fault prediction,Data driven,KNN,Yes: KNN,4.0,2-s2.0-85210287638,['fault prediction'],['Fault prediction']
HVAC,HVAC,,structured data,Fault prediction,Data driven,Classifier chains integrated with random forest (CC-RF),No,4.0,2-s2.0-85105965088,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"['images', 'audio sensors']",['Fault prediction'],Data driven,"['Fourier transform', 'ARIMA', 'AlexNet CNN']","Yes: Image morphology, OCR, threshold setting",4.0,2-s2.0-85104453372,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Deep Learning,No,4.0,2-s2.0-85175555975,['remaining useful life'],['Remaining Useful Life']
HVAC,HVAC,,structured data,Fault prediction,Rules and/or logic based,"Analytical redundancy relations, residual-based detection",Yes: Residual-based fault diagnosis with adaptive thresholds,5.0,2-s2.0-85121112603,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"['Artificial Neural Network (ANN)', 'Genetic Algorithm (GA)', 'Multiple Linear Regression (MLR)']",No,4.0,2-s2.0-85115975461,['fault prediction'],['Fault prediction']
Building energy systems,Commercial buildings,,sensor data,Fault prediction,Data driven,Clustering-based analysis,Yes: Clustering,4.0,2-s2.0-85122423050,['fault prediction'],['Fault prediction']
Mechanical systems / Industrial equipment,Industrial systems,,"sensor data, operating condition data",Remaining Useful Life,Data driven,Attention network (custom neural network architecture),No,3.0,2-s2.0-85186495975,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Multi-branch residual convolutional neural network (MBRCNN),No,4.0,2-s2.0-85167997339,['fault prediction'],['Fault prediction']
Industrial process systems / Chemical processing,Industrial systems,chemical,sensor data,Fault prediction,Statistical,Probabilistic PCA (MPPCA),Yes: Probabilistic PCA and statistical metrics,3.0,2-s2.0-85186433197,['fault prediction'],['Fault prediction']
Industrial pipeline systems,Industrial systems,,sensor data,Fault prediction,Hybrid,Data-centric and model-centric methodologies,No,2.0,2-s2.0-105003562908,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,images,Fault prediction,Data driven,YOLO,No,4.0,2-s2.0-85205254111,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Fast S transform', 'Random forest']",Yes: Random forest,2.0,2-s2.0-85160513029,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,structured data,Remaining Useful Life,Data driven,Multiple Linear Regression,Yes: Multiple Linear Regression,4.0,2-s2.0-85086879820,['remaining useful life'],['Remaining Useful Life']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,['Goertzel algorithm'],Yes: spectral analysis / signal processing,4.0,2-s2.0-85218931226,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Deep transfer learning', 'Temporal convolutional network', 'Domain adversarial neural network']",No,3.0,2-s2.0-85100019454,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical equipment,Industrial systems,,"sensor data, time series, vibration signals",Fault prediction,Data driven,Entropy methods,Yes: entropy-based measures,4.0,2-s2.0-85173558612,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series, images",Remaining Useful Life,Data driven,"Siamese Neural Networks (SNN), Artificial Neural Networks (ANN)",No,3.0,2-s2.0-85141010608,['remaining useful life'],['Remaining Useful Life']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,multi-sensor data,Fault prediction,Data driven,"Graph isomorphism wavelet convolutional networks (GIWCN), Weisfeiler-Lehman (WL) algorithm, Graph wavelet transform (GWT), Multi-Layer Perceptrons (MLPs)",Yes: Graph wavelet transform (GWT) and the interpretable node feature propagation mechanism,4.0,2-s2.0-105008503075,['fault prediction'],['Fault prediction']
Industrial equipment / machinery (general industrial systems),Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['Kernel principal component analysis', 'Deep autoencoders', 'Wiener process']",No,4.0,2-s2.0-105004565981,['remaining useful life'],['Remaining Useful Life']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Learning Vector Quantization (LVQ),Yes: interpretable technique,3.0,2-s2.0-85188928033,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,vibration signals / time series,Fault prediction / Severity estimation,Data driven,"['Support Vector Machine (SVM)', 'k-Nearest Neighbor (k-NN)', 'Decision Tree (DT)', 'Fisher Score feature selection']",Yes: Fisher Score with decision trees and feature selection,4.0,2-s2.0-85193264554,['fault prediction / severity estimation'],"['Fault prediction', 'Other']"
Industrial induction motors,Industrial systems,,sensor data,Fault prediction,Data driven,Wavelet analysis,Yes: Wavelet analysis,3.0,2-s2.0-85109322596,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Convolutional neural networks (CNN), Canonical correlation analysis (CCA)",No,3.0,2-s2.0-105009824334,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Empirical Mode Decomposition (EMD)', 'Symmetrized Dot Pattern (SDP)', 'Kernel Density Estimation (KDE)']",Yes: Visual and feature-based interpretation,3.0,2-s2.0-85129756806,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Autoencoder (SAE), Bi-directional LSTM with Attention",No,4.0,2-s2.0-86000774164,['remaining useful life'],['Remaining Useful Life']
Industrial motors / Electrical fault detection in industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Clustering, Spectrum energy analysis",Yes: Cluster analysis and spectral features are interpretable,3.0,2-s2.0-85111488571,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"Finite element models, Numerical simulations",Yes: Structural analysis and finite element models,3.0,2-s2.0-85206840817,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Clustering (Constrained K-means),Yes: clustering and constraints,4.0,2-s2.0-85162877723,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Deep learning, Transfer learning, Dynamic domain adaptation, Correlation analysis, Dynamic time warping (DTW), Multi-scale Depthwise Separable Convolution, Multi-attention mechanisms",No,4.0,2-s2.0-85205548839,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Autoencoder, CNN, LSTM",No,4.0,2-s2.0-85151818026,['remaining useful life'],['Remaining Useful Life']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Machine learning,No,3.0,2-s2.0-85131136583,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Linear Matrix Inequalities (LMIs),Yes: residual framers and decision logic,1.0,2-s2.0-85087019311,['fault prediction'],['Fault prediction']
Industrial systems / Asset health monitoring,Industrial systems,,"sensor data, structured data","['Remaining Useful Life', 'Fault prediction']",Data driven,"['Deep sequence models', 'Entity embeddings', 'Clustering algorithms']",No,4.0,2-s2.0-85145396652,"['remaining useful life', 'fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Chip manufacturing,Chip manufacturing,,sensor data,Performance monitoring,Data driven,Not explicitly mentioned,No,4.0,2-s2.0-85168683994,['performance monitoring'],['Other']
HVAC,HVAC,,sensor data,Fault prediction,Hybrid,"['Artificial neural network', 'Decision tree', 'Random forest']",Yes: decision tree,4.0,2-s2.0-85172726582,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,"Fault prediction, Severity diagnosis",Hybrid,Kolmogorov–Arnold Networks,Yes: symbolic representations and feature attribution,4.0,2-s2.0-105003541411,"['fault prediction', ' severity diagnosis']","['Fault prediction', 'Fault diagnosis']"
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"Interval observer, Linear Matrix Inequalities (LMIs)",Yes: Residual intervals and Lyapunov functions,2.0,2-s2.0-85087037131,['fault prediction'],['Fault prediction']
Industrial turbines / Large turbomachines,Industrial systems,,images,Fault prediction,Data driven,"['CNN', 'LSTM']",No,4.0,2-s2.0-85175250095,['fault prediction'],['Fault prediction']
Industrial systems (bearing fault prediction),Industrial systems,,sensor data,Fault prediction,Hybrid,"Learning Fuzzy Cognitive Maps (LFCMs), Long Short-Term Memory Networks (LSTMs)",Yes: Fuzzy Cognitive Maps (LFCMs),4.0,2-s2.0-85153788653,['fault prediction'],['Fault prediction']
Mechanical equipment in industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Bi-LSTM', 'SVC']",No,4.0,2-s2.0-85123824197,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Predictive maintenance,Data driven,"Machine Learning, IoT",No,2.0,2-s2.0-85210686409,['predictive maintenance'],['Predictive maintenance']
Commercial buildings,Commercial buildings,,"sensor data, time series",['Fault prediction'],Data driven,,No,3.0,2-s2.0-105004332248,['fault prediction'],['Fault prediction']
Industrial process systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Adaptive observer-based fault detection and backstepping control,Yes: rules and/or logic based methods,2.0,2-s2.0-85138533879,['fault prediction'],['Fault prediction']
Industrial engines / Mechanical systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Mixed attention, Self-attention, Mutual attention",No,3.0,2-s2.0-85198589955,['fault prediction'],['Fault prediction']
Industrial systems / Industry 4.0,Industrial systems,,structured data,Fault prediction,Data driven,"Metaheuristics (firefly algorithm), XGBoost, Extreme Learning Machine",No,1.0,2-s2.0-85152248358,['fault prediction'],['Fault prediction']
