Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Aircraft maintenance,Aicraft / Aviation / Aerospace,,sensor data,Other,Hybrid,"RFID technology, IoT",Yes: RFID-based approach provides interpretability,2.0,2-s2.0-105009132608
Wind farm / Renewable energy systems,Energy systems (not HVAC),Wind energy systems,"sensor data, real-time data","Fault prediction, Remaining Useful Life",Hybrid,"Machine learning, Analytics",Yes: Interpretability through analytics and sensor data insights,4.0,2-s2.0-85212930732
Other,Other,,structured data,Asset performance monitoring,Data driven,,No,2.0,2-s2.0-86000010399
Industrial motors / Electrical machinery,Industrial systems,,images,Fault prediction,Data driven,CNN,No,3.0,2-s2.0-85195127449
Industrial robotic systems,Robotics,robots,sensor data,Fault prediction,Data driven,Fast Fourier Transform (FFT),Yes: FFT,3.0,2-s2.0-85211109460
Overhead transmission lines,Other,,sensor data,Fault prediction,Data driven,Attention mechanism,No,4.0,2-s2.0-85202598475
Commercial manufacturing (automobile assembly plants),Manufacturing systems,,"sensor data, unstructured data",Fault prediction,Hybrid,Random Forest,Yes: Tree-based models,4.0,2-s2.0-85194189717
Railway transportation systems,Transportation systems,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,3.0,2-s2.0-85211091770
Industrial machinery,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,Machine learning,No,4.0,2-s2.0-85153502661
Manufacturing or Smart manufacturing,Manufacturing systems,,"sensor data, images","Fault prediction, Remaining Useful Life",Data driven,"['Deep belief networks', 'Auto-Encoder', 'RNNs', 'CNNs']",No,2.0,2-s2.0-85153578237
Industrial environments / Manufacturing facilities,Industrial systems,,"sensor data, real-time data","Predictive maintenance, Future system state",Data driven,Random Forest,Yes: Decision Trees / Random Forest interpretability,4.0,2-s2.0-85212813949
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Convolutional Neural Networks (CNN),No,4.0,2-s2.0-105009097911
Ubiquitous networking,Other,,structured data,Channel allocation optimization,Rules and/or logic based,Hashing and collision avoidance algorithms,Yes: Rules-based and algorithmic,1.0,2-s2.0-85186734156
Industrial Internet of Things (IIoT) in industrial environments,Industrial systems,,structured data,"QoS parameters (reliability, delay, queue length)",Data driven,Simulation-based and adaptive queue management algorithms,No,2.0,2-s2.0-86000232841
Supply chain logistics,Other,,sensor data,Forecasting / Predictive maintenance,Data driven,Predictive analytics / Machine learning methods,No,2.0,2-s2.0-85211131838
Electric vehicle systems,Electrical systems,,sensor data,Fault prediction,Data driven,Optimizer,No,1.0,2-s2.0-85198547826
Industrial systems / Smart factories,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Machine Learning,No,4.0,2-s2.0-85213042315
Electrical machines / Induction machines,Electrical systems,,"sensor data, time series",Fault prediction,Data driven,Machine learning models (unspecified specific algorithms),No,4.0,2-s2.0-85175295424
Textile manufacturing,Manufacturing systems,textile,sensor data,Forecasting drying settings / Moisture levels,Data driven,K-Nearest Neighbors (KNN),Yes: KNN,4.0,2-s2.0-85216565800
Electrical transformers/OLTCs,Electrical systems,,"sensor data, time series",Fault prediction,Hybrid,"Machine Learning, Decision Tree",Yes: Decision Tree,4.0,2-s2.0-85214425512
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Machine Learning,No,4.0,2-s2.0-85188103377
Vehicle systems / Automotive systems,Transportation systems,vehicles,"sensor data (obd-ii data), time series (real-time vehicle diagnostics), structured data","Fault prediction, potential issues detection, driver behavior analysis",Data driven,Machine learning,No,2.0,2-s2.0-85212860322
Electric vehicles / Automotive systems,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"Algorithms for cell balance, thermal management, fault detection (implied ML or optimization-based algorithms)",Yes: rule-based algorithms and control schemes,4.0,2-s2.0-85189149573
Commercial buildings,Commercial buildings,,"sensor data, time series",['Fault prediction'],Data driven,Not specified explicitly in the abstract,No,2.0,2-s2.0-85165681064
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Current prediction model,No,2.0,2-s2.0-105002371795
Industrial machinery,Industrial systems,,images,Fault prediction,Data driven,YOLO v5,No,1.0,2-s2.0-85186494656
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Machine learning classification models,Yes: Counterfactual analysis,4.0,2-s2.0-86000713580
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Isolation Forest,Yes: Isolation Forest,4.0,2-s2.0-85215684257
PV Solar Systems / Renewable Energy,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,Deep learning / Artificial neural networks,No,4.0,2-s2.0-85196755387
Automobile sector,Transportation systems,vehicles,"sensor data, time series",Fault prediction,Data driven,LSTM networks,No,4.0,2-s2.0-85216579404
Battery management systems / Lithium-ion battery systems,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Data driven,Residual generation and evaluation methods,Yes: Residual-based diagnosis with interpretable residuals,3.0,2-s2.0-85199081028
Textile manufacturing,Manufacturing systems,textile,"sensor data, time series",Fault prediction,Data driven,AdaBoost,No,4.0,2-s2.0-85218135218
Industrial systems (specifically induction motor drives),Industrial systems,,sensor data,Fault prediction,Model-based,Extended Kalman Filter (EKF),Yes: Model-based (EKF),1.0,2-s2.0-85209942334
Highway traffic monitoring systems,Other,,sensor data,Fault prediction,Data driven,"['Grey relational analysis', 'BP neural network']",No,4.0,2-s2.0-85218471450
Cigarette manufacturing,Manufacturing systems,,"sensor data, time series",['Fault prediction'],Data driven,"['Support Vector Machine', 'Wavelet packet analysis', 'Convolutional Neural Network']",No,2.0,2-s2.0-85219594032
Electronics systems / Electronic components,Other,,"sensor data, time series",['Fault prediction'],Data driven,,No,4.0,2-s2.0-85216576291
Switchgear cabinets,Other,,sensor data,Fault prediction,Data driven,"Deformable Attention Transformer, Gaussian Mixture Models (GMM)",No,4.0,2-s2.0-85219157617
"Aerospace/Engine systems (e.g., turbofan engine dataset)",Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['Gramian Angular Summation Fields (GASF)', 'Convolutional Neural Networks (CNN)', 'Recurrent Neural Networks (RNN)']",No,2.0,2-s2.0-85215321109
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,Feed Forward Neural Network,No,4.0,2-s2.0-85207093918
Commercial buildings,Commercial buildings,,sensor data,['Fault prediction'],Data driven,Machine learning algorithms,No,3.0,2-s2.0-85205968515
Power distribution networks,Power systems,,sensor data,Fault prediction,Rules and/or logic based,Fuzzy Inference System (FIS),Yes: Fuzzy Logic,1.0,2-s2.0-105002719177
Photovoltaic systems,Energy systems (not HVAC),solar,sensor data,['Fault prediction'],Data driven,"['Linear regression', 'Random forest']",Yes: Random forest,2.0,2-s2.0-85219143336
Electrical safety systems,Electrical systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-105002374715
Manufacturing systems,Manufacturing systems,,sensor data,['Fault prediction'],Data driven,,Yes: Rule-based thresholds and sensor feature analysis,4.0,2-s2.0-85207057957
Electric power distribution systems,Power systems,,sensor data,Fault prediction,Data driven,"CNN, Continuous Wavelet Transform",No,3.0,2-s2.0-85199772095
Chip manufacturing,Chip manufacturing,,"time series, wireless monitoring, sensor data",Fault prediction,Data driven,Lightweight-Time-Delay Neural Networks (Lightweight-TDNNs),No,4.0,2-s2.0-85219528634
Vehicle fleet management,Transportation systems,vehicles,sensor data,Remaining Useful Life,Hybrid,LSTM-MLP,No,2.0,2-s2.0-105004550029
Industrial temperature measurement systems,Industrial systems,,sensor data,Fault prediction,Data driven,Empirical Mode Decomposition,Yes: Statistical features from Intrinsic Mode Functions,3.0,2-s2.0-85199184893
Sewage systems,Civil infrastructure,wastewater,"sensor data, time series",Fault prediction,Data driven,LSTM,No,4.0,2-s2.0-105002759967
Industrial safety equipment,Industrial systems,,sensor data,Fault prediction,Data driven,Machine Learning (ML) algorithms,No,4.0,2-s2.0-85201012076
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Neural Networks,No,4.0,2-s2.0-105002724003
Industrial electric fans,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,"['CNN', 'DNN']",No,4.0,2-s2.0-85208426916
Distributed systems and blockchain consensus protocols,Other,,sensor data,Clock synchronization,Data driven,"['Sensor-fusion algorithm', 'Statistical outlier detection']",Yes: statistical outlier detection,1.0,2-s2.0-85218100920
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, structured data",Remaining Useful Life,Data driven,"Bi-LSTM, Bi-GRU, Attention",No,3.0,2-s2.0-85215270469
Robotic systems,Robotics,robots,sensor data,Angular velocity estimation,Data driven,"Sensor fusion, Quaternion differentiation",No,0.0,2-s2.0-105002279960
Pipeline inspection / industrial pipeline systems,Industrial systems,,"sensor data, images",Fault prediction,Data driven,"Not explicitly specified, likely machine learning-based analysis of sensor and image data",No,3.0,2-s2.0-85210567445
Automotive systems,Transportation systems,vehicles,sensor data,Fault prediction,Data driven,"['Genetic Algorithm', 'Particle Swarm Optimization', 'Whale Optimization']",No,2.0,2-s2.0-85216520064
Industrial systems,Industrial systems,,"iot data, load factor data","Load management, Overload detection",Data driven,Not explicitly specified,No,3.0,2-s2.0-85201003592
Aerospace,Aicraft / Aviation / Aerospace,,time series,Remaining Useful Life,Data driven,"['CNN', 'Transformer', 'Fourier layer']",No,2.0,2-s2.0-105003197488
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Linear layers, spatial-temporal feature extraction, uncertainty estimation",Yes: Interpretable linear layers,4.0,2-s2.0-85205702681
High-voltage cable defect diagnosis,Other,,"sensor data, time series",Fault prediction,Data driven,"Supervised contrast network, Multi-scale composite attention mechanism",No,2.0,2-s2.0-105000756142
Aquarium systems,Other,,"sensor data, time series","Fault prediction, Remaining Useful Life",Data driven,"AI algorithms (unspecified), anomaly detection",No,2.0,2-s2.0-85215516785
Oil and gas industries,Oil and gas industry,Oil and Gas,sensor data,Fault prediction,Data driven,"['ANN', 'XGBoost']",No,4.0,2-s2.0-105004659978
Photovoltaic (PV) systems,Energy systems (not HVAC),solar,time series,Anomaly detection,Data driven,"Statistical methods (descriptive statistics, interquartile ranges, standard deviations)",Yes: Descriptive statistical methods,2.0,2-s2.0-85211961171
Civil engineering,Civil infrastructure,,sensor data,Fault prediction,Data driven,Advanced analytics (implied machine learning or AI techniques),No,4.0,2-s2.0-85201798062
Industry 4.0 manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,LSTM,No,4.0,2-s2.0-85197171116
IoT devices,IoT systems,,structured data,Vulnerability detection / Fault detection,Data driven,"Coverage-guided fuzzing, State model inference",No,0.0,2-s2.0-105001673715
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,Federated Convolutional Neural Network with Temporal Attention Mechanism (FedCNN-TAM),No,3.0,2-s2.0-85218124015
Electrical safety / Electric fire prevention,Electrical systems,,sensor data,Fault prediction,Data driven,Signal analysis / Experimental analysis,Yes: Interpretable signal analysis,2.0,2-s2.0-85205717507
High-voltage power equipment in energy stations,Energy systems (not HVAC),,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85217191728
Electrical substations / Power distribution networks,Power systems,,sensor data,Fault prediction,Data driven,"Not explicitly specified in the abstract, possibly rule-based or simple threshold-based methods given alarm systems and point detection",Yes: Rules and alarm thresholds,2.0,2-s2.0-85216708930
Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"['Support Vector Machine (SVM)', 'Random Forest', 'Decision Tree']",Yes: Decision Tree,4.0,2-s2.0-105002225453
Electric vehicle systems in industrial applications,Industrial systems,,sensor data,Fault prediction,Data driven,"['Support Vector Machines', 'Neural Networks']",No,4.0,2-s2.0-105007286588
Induction motors / Electrical drive systems,Electrical systems,,sensor data,Fault prediction,Data driven,"Deep neural networks, Transfer learning, CNN",No,3.0,2-s2.0-85209876146
Aviation or aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Rules and/or logic based,Unknown Input Observer,Yes: residual-based fault diagnosis,2.0,2-s2.0-105003308376
Elevators / Building systems,Commercial buildings,elevators,sensor data,Fault prediction,Data driven,"LSTM, PSO",No,3.0,2-s2.0-85192513776
